station_name,avgweekdayridership 
Richmond,4060 
El Cerrito del Norte,8372 
El Cerrito Plaza,4823 
North Berkeley,4408 
Downtown Berkeley,12222  
Ashby,5280 
MacArthur,8931 
19th St. Oakland,14267 
12th St. Oakland City Center,15138 
Lake Merritt,7402 
Fruitvale,8146 
Coliseum,6106 
San Leandro,6347 
Bay Fair,5536 
Hayward,4585 
South Hayward,2971 
Union City,4919 
Fremont,6965 
Concord,5866 
Pleasant Hill/Contra Costa Centre,7620 
Walnut Creek,6998 
Lafayette,3522 
Orinda,3122 
Rockridge,5774 
West Oakland,7206 
Embarcadero,50363 
Montgomery St.,45579 
Powell St.,26379 
Civic Center/UN Plaza,23151 
16th St. Mission,12505 
24th St. Mission,12041 
Glen Park,7206 
Balboa Park,9543 
Daly City,8363 
Colma,4298 
Castro Valley,2878 
Dublin/Pleasanton,8423 
North Concord/Martinez,2168 
Pittsburg/Bay Point,4030 
South San Francisco,3435 
San Bruno,3731 
San Francisco International Airport,6648 
Millbrae,6269 
West Dublin/Pleasanton,3808 
Oakland International Airport,1575 
Warm Springs/South Fremont,3443 
Pittsburg Center,940 
Antioch,2928 